@relation 'pacman-data-training-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>2, ifelse(A>5, ifelse(A>8, ifelse(A>12, ifelse(A>15, ifelse(A>18, 7, 6), 5), 4), 3), 2), 1), 0)-V-R1-2,11-18,24-25-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>5, ifelse(A>10, ifelse(A>15, ifelse(A>20, ifelse(A>25, ifelse(A>30, 7, 6), 5), 4), 3), 2), 1), 0)-V-R19-23,32-weka.filters.unsupervised.attribute.NumericToNominal-R1-2,11-25,32-weka.filters.unsupervised.attribute.Remove-R7-10,26-27,30-34'

@attribute pacman_positionX {0,1,2,3,4,5,6,7}
@attribute pacman_positionY {0,1,2,3,4,5,6,7}
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute ghost1_positionX {0,1,2,3,4,5,6,7}
@attribute ghost1_positionY {0,1,2,3,4,5,6,7}
@attribute ghost2_positionX {0,1,2,3,4,5,6,7}
@attribute ghost2_positionY {0,1,2,3,4,5,6,7}
@attribute ghost3_positionX {0,1,2,3,4,5,6,7}
@attribute ghost3_positionY {0,1,2,3,4,5,6,7}
@attribute ghost4_positionX {0,1,2,3,4,5,6,7}
@attribute ghost4_positionY {0,1,2,3,4,5,6,7}
@attribute ghost1_distance {0,1,2,3,4,5,6,7}
@attribute ghost2_distance {0,1,2,3,4,5,6,7}
@attribute ghost3_distance {0,1,2,3,4,5,6,7}
@attribute ghost4_distance {0,1,2,3,4,5,6,7}
@attribute food_distance {0,1,2,3,4,5,6,7}
@attribute food_position_x {0,1,2,3,4,5,6,7}
@attribute food_position_y {0,1,2,3,4,5,6,7}
@attribute score numeric
@attribute score_siguiente numeric
@attribute next_move {West,East,North,South,Stop}

@data
5,2,0,1,1,1,1,1,2,1,2,1,6,4,0,0,0,2,1,4,3,576,575,East
5,2,1,1,1,1,1,1,2,1,2,1,6,4,0,0,0,2,1,4,3,575,574,East
5,2,0,1,1,1,1,1,2,1,2,1,6,4,0,0,0,2,2,4,3,574,573,East
6,2,0,1,1,1,1,1,2,1,2,1,6,4,0,0,0,2,2,4,3,573,572,East
6,2,0,1,1,1,1,1,2,1,2,1,6,4,0,0,0,2,2,4,3,572,571,East
6,2,1,1,0,1,1,1,2,1,2,1,6,4,0,0,0,2,2,4,3,571,570,North
6,3,1,1,0,0,1,1,2,1,2,1,6,4,0,0,0,2,2,4,3,570,569,North
6,3,1,1,0,1,1,1,2,1,2,1,5,4,0,0,0,2,2,5,4,569,568,North
6,3,1,1,0,1,1,1,2,1,2,1,6,4,0,0,0,1,2,5,4,568,567,North
6,4,1,1,0,1,1,1,2,1,2,1,6,4,0,0,0,1,1,5,4,567,566,North
6,4,1,1,0,0,1,1,2,1,2,1,6,4,0,0,0,1,1,5,4,566,565,North
6,4,0,1,0,1,1,1,2,1,2,1,5,4,0,0,0,1,1,5,4,565,564,West
5,2,0,0,1,1,4,5,5,5,5,5,6,5,4,3,3,3,0,0,0,0,-1,East
5,2,1,0,1,1,4,5,5,6,5,5,6,5,4,3,3,3,0,0,0,-1,-2,North
5,2,1,1,0,0,4,5,5,6,5,5,6,5,3,3,3,3,0,0,0,-2,-3,North
5,2,0,1,1,0,4,5,5,6,5,5,6,5,3,3,3,3,0,0,0,-3,-4,East
6,2,0,0,1,1,4,5,5,5,4,5,6,5,4,3,3,2,0,0,0,-4,-5,East
6,2,0,0,1,1,4,5,5,6,4,5,6,5,4,3,4,3,0,0,0,-5,-6,East
6,2,1,0,0,1,4,5,5,6,4,5,6,5,4,4,4,3,0,0,0,-6,-7,North
6,3,1,1,0,0,4,5,5,6,4,5,6,5,4,3,3,3,0,0,0,-7,-8,North
6,3,1,1,0,0,4,5,5,6,5,5,6,5,3,3,3,2,0,0,0,-8,-9,North
6,3,0,1,1,1,4,5,5,6,5,5,6,5,3,3,3,2,0,0,0,-9,-10,East
7,3,0,0,1,1,5,5,5,6,5,5,6,5,3,3,3,3,0,0,0,-10,-11,East
7,3,0,0,1,1,5,5,5,5,5,5,5,5,3,3,3,3,0,0,0,-11,-12,East
7,3,1,1,0,1,5,5,5,5,5,5,6,5,3,3,3,3,0,0,0,-12,-13,North
7,4,1,1,0,0,5,6,4,5,5,6,6,5,3,3,3,2,0,0,0,-13,-14,North
7,4,1,1,0,0,5,5,4,5,5,6,6,5,3,3,3,2,0,0,0,-14,-15,North
7,4,1,1,1,1,5,5,5,5,5,6,6,5,2,3,3,2,0,0,0,-15,-16,West
7,4,0,0,1,1,5,5,4,5,5,6,6,5,2,3,3,2,0,0,0,-16,-17,West
7,4,1,0,1,1,5,6,4,5,5,6,6,5,2,3,2,2,0,0,0,-17,-18,North
7,4,1,1,0,0,5,6,4,5,5,6,6,5,2,3,2,2,0,0,0,-18,-19,North
7,5,1,1,0,1,5,5,4,5,5,5,6,5,2,2,2,1,0,0,0,-19,-20,North
7,5,1,1,0,0,5,6,5,5,5,5,6,5,2,2,2,1,0,0,0,-20,-21,North
7,5,1,1,1,0,5,6,4,5,5,6,6,5,2,2,2,1,0,0,0,-21,-22,North
7,6,1,1,0,0,5,6,4,5,5,5,6,5,2,2,2,1,0,0,0,-22,-23,North
7,6,0,1,0,1,5,6,4,5,5,6,5,5,1,2,2,2,0,0,0,-23,-24,West
6,6,0,0,1,1,5,6,4,5,5,5,5,5,1,2,2,1,0,0,0,-24,-25,West
6,6,0,0,1,1,5,6,4,5,5,5,6,5,1,2,2,1,0,0,0,-25,-26,West
6,6,0,0,1,1,5,6,5,5,5,5,5,5,1,1,1,1,0,0,0,-26,-27,West
5,6,1,0,1,1,5,6,4,5,5,5,6,5,1,1,1,1,0,0,0,-27,-28,West
5,6,0,1,1,1,5,6,4,5,5,5,5,5,1,1,1,1,0,0,0,-28,171,South
5,6,1,1,0,1,1,1,4,5,5,5,6,5,0,1,1,1,0,0,0,171,170,South
5,5,1,0,1,1,1,1,4,5,2,1,6,5,0,1,0,1,0,0,0,370,369,West
5,5,1,0,1,1,1,1,2,1,2,1,6,5,0,0,0,1,0,0,0,569,568,East
5,5,1,0,1,1,1,1,2,1,2,1,6,5,0,0,0,1,0,0,0,568,767,East
1,6,0,1,1,0,2,4,4,2,6,3,7,3,3,5,6,7,0,0,0,0,-1,South
1,6,1,1,0,0,2,4,4,2,6,2,7,3,3,5,6,7,0,0,0,-1,-2,South
1,6,1,1,1,0,2,4,4,2,6,2,7,3,2,5,6,7,0,0,0,-2,-3,South
1,5,1,1,1,0,2,4,4,2,6,2,7,3,2,5,6,6,0,0,0,-3,-4,South
1,5,1,1,1,0,2,4,4,2,6,2,7,3,2,4,6,6,0,0,0,-4,-5,South
1,5,1,1,0,0,2,4,4,2,6,2,7,3,2,4,5,6,0,0,0,-5,-6,South
1,4,1,1,1,0,2,4,4,2,6,2,7,4,1,4,5,6,0,0,0,-6,-7,South
1,4,1,1,0,0,2,4,4,2,6,2,7,3,1,4,5,6,0,0,0,-7,-8,South
1,4,1,1,0,0,2,4,4,2,6,2,7,3,1,4,5,5,0,0,0,-8,-9,South
1,4,1,1,0,0,2,4,4,2,6,2,7,4,1,4,5,5,0,0,0,-9,-10,South
1,3,1,1,0,0,2,4,4,2,6,2,7,3,2,3,5,5,0,0,0,-10,-11,South
1,3,1,1,0,0,3,4,4,2,7,2,7,3,2,3,5,6,0,0,0,-11,-12,South
1,3,1,1,1,0,3,4,4,2,6,2,7,3,2,3,4,6,0,0,0,-12,-13,East
1,3,0,1,1,1,2,4,4,2,7,2,7,4,2,3,4,6,0,0,0,-13,-14,East
2,3,1,1,1,1,2,4,4,2,7,2,7,3,2,3,4,5,0,0,0,-14,-15,East
2,3,1,1,1,1,2,4,4,2,7,2,7,3,1,2,4,5,0,0,0,-15,-16,East
2,3,1,1,1,1,2,4,4,2,7,2,7,3,1,2,4,5,0,0,0,-16,-17,North
2,3,1,1,1,1,2,4,4,2,7,2,7,3,1,2,4,5,0,0,0,-17,-18,North
2,3,1,1,1,1,2,4,4,2,7,2,7,4,1,3,4,5,0,0,0,-18,181,North
2,4,1,1,1,1,1,1,4,2,7,2,7,4,0,3,4,5,0,0,0,181,180,East
3,4,1,1,0,1,1,1,4,2,7,2,7,4,0,2,4,5,0,0,0,180,179,South
3,3,1,1,0,1,1,1,4,2,7,2,7,3,0,2,4,5,0,0,0,179,178,South
3,3,1,1,0,1,1,1,4,2,7,2,7,4,0,2,4,5,0,0,0,178,177,South
3,3,1,0,1,1,1,1,4,3,7,2,7,4,0,1,4,5,0,0,0,177,176,East
3,3,0,0,1,1,1,1,4,3,6,2,7,3,0,1,3,5,0,0,0,176,175,East
3,3,1,1,1,1,1,1,4,3,6,2,7,4,0,1,3,4,0,0,0,175,174,East
4,3,1,1,1,1,1,1,4,3,6,2,7,3,0,1,2,4,0,0,0,174,173,East
4,3,1,1,1,1,1,1,4,3,6,2,7,3,0,1,2,4,0,0,0,173,172,North
4,3,1,1,1,1,1,1,4,3,6,2,7,3,0,1,2,4,0,0,0,172,171,East
4,3,1,1,0,1,1,1,4,4,5,2,7,3,0,1,2,4,0,0,0,171,170,North
4,3,1,1,0,1,1,1,4,4,6,2,7,4,0,1,2,4,0,0,0,170,169,North
4,4,1,1,0,1,1,1,4,4,6,2,7,3,0,1,3,4,0,0,0,169,368,North
4,4,1,1,0,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,368,367,North
4,4,1,1,0,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,367,366,North
4,4,0,1,1,1,1,1,2,1,6,2,7,3,0,0,3,5,0,0,0,366,365,East
4,4,0,0,1,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,365,364,East
5,4,0,1,1,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,364,363,East
5,4,1,1,1,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,363,362,South
5,4,1,1,1,1,1,1,2,1,6,2,7,3,0,0,3,4,0,0,0,362,361,South
5,4,1,1,1,1,1,1,2,1,6,2,7,3,0,0,2,4,0,0,0,361,360,South
5,4,1,1,0,1,1,1,2,1,7,2,7,2,0,0,2,3,0,0,0,360,359,South
5,3,1,1,1,1,1,1,2,1,7,2,7,3,0,0,2,3,0,0,0,359,358,South
5,3,1,1,0,1,1,1,2,1,6,2,7,2,0,0,2,3,0,0,0,358,357,South
5,3,1,1,1,1,1,1,2,1,6,3,7,2,0,0,1,3,0,0,0,357,356,East
5,3,0,0,1,1,1,1,2,1,7,3,7,2,0,0,1,3,0,0,0,356,355,East
6,3,0,0,1,1,1,1,2,1,7,2,7,2,0,0,1,2,0,0,0,355,354,East
6,3,0,1,1,1,1,1,2,1,7,2,7,3,0,0,1,2,0,0,0,354,353,East
6,3,0,1,1,1,1,1,2,1,7,2,7,3,0,0,1,2,0,0,0,353,352,East
7,3,0,1,1,1,1,1,2,1,2,1,7,3,0,0,0,2,0,0,0,552,551,East
7,3,0,1,1,1,1,1,2,1,2,1,7,2,0,0,0,2,0,0,0,551,550,East
7,3,0,0,1,1,1,1,2,1,2,1,7,2,0,0,0,2,0,0,0,550,549,East
7,3,0,0,1,1,1,1,2,1,2,1,7,2,0,0,0,2,0,0,0,549,548,East
7,3,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,2,0,0,0,548,547,East
7,3,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,1,0,0,0,547,546,East
7,3,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,1,0,0,0,546,545,East
7,3,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,1,0,0,0,545,544,East
7,3,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,1,0,0,0,544,543,South
7,2,1,1,1,1,1,1,2,1,2,1,7,2,0,0,0,1,0,0,0,543,742,East
1,6,0,1,1,0,1,2,1,2,2,4,3,3,3,4,3,4,0,0,0,0,-1,South
1,6,1,1,0,0,1,2,1,2,2,4,3,3,3,3,3,3,0,0,0,-1,-2,South
1,6,1,1,1,0,2,2,2,2,2,4,3,3,3,3,2,3,0,0,0,-2,-3,South
1,5,1,1,1,0,1,2,2,2,2,4,3,3,3,3,2,3,0,0,0,-3,-4,South
1,5,1,1,1,0,1,2,2,2,2,4,2,3,3,3,2,3,0,0,0,-4,-5,South
