@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7-22

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,6,1,1,0,0,664,Stop
1,6,1,1,0,0,664,Stop
1,6,1,1,0,0,664,Stop
1,6,1,1,0,0,664,North
1,7,1,1,1,0,663,Stop
1,7,1,1,1,0,663,Stop
1,7,1,1,1,0,663,Stop
1,7,1,1,1,0,663,North
1,7,1,1,1,0,663,East
2,7,1,0,1,1,662,Stop
2,7,1,0,1,1,662,Stop
2,7,1,0,1,1,662,Stop
2,7,1,0,1,1,662,West
2,7,1,0,1,1,662,East
3,7,1,0,1,1,661,Stop
3,7,1,0,1,1,661,Stop
3,7,1,0,1,1,661,Stop
3,7,1,0,1,1,661,Stop
3,7,1,0,1,1,661,East
4,7,1,0,1,1,660,Stop
4,7,1,0,1,1,660,Stop
4,7,1,0,1,1,660,Stop
4,7,1,0,1,1,660,East
4,7,1,0,1,1,660,East
5,7,1,0,1,1,659,Stop
5,7,1,0,1,1,659,Stop
5,7,1,0,1,1,659,Stop
5,7,1,0,1,1,659,West
5,7,1,0,1,1,659,East
6,7,1,0,1,1,658,Stop
6,7,1,0,1,1,658,Stop
6,7,1,0,1,1,658,Stop
6,7,1,0,1,1,658,Stop
6,7,1,0,1,1,658,East
7,7,1,0,1,1,657,Stop
7,7,1,0,1,1,657,Stop
7,7,1,0,1,1,657,Stop
7,7,1,0,1,1,657,West
7,7,1,0,1,1,657,East
8,7,1,1,1,1,656,Stop
8,7,1,1,1,1,656,Stop
8,7,1,1,1,1,656,Stop
8,7,1,1,1,1,656,South
8,7,1,1,1,1,656,North
8,8,1,1,1,1,655,Stop
8,8,1,1,1,1,655,Stop
8,8,1,1,1,1,655,Stop
8,8,1,1,1,1,655,South
8,8,1,1,1,1,655,North
8,9,0,1,1,1,654,Stop
8,9,0,1,1,1,654,Stop
8,9,0,1,1,1,654,Stop
8,9,0,1,1,1,654,Stop
8,9,0,1,1,1,654,East
9,9,0,1,1,1,653,Stop
9,9,0,1,1,1,653,Stop
9,9,0,1,1,1,653,Stop
9,9,0,1,1,1,653,Stop
9,9,0,1,1,1,653,East
10,9,1,1,1,1,652,Stop
10,9,1,1,1,1,652,Stop
10,9,1,1,1,1,652,Stop
