@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R1-6,23'

@attribute living_ghost1 {0,1}
@attribute living_ghost2 {0,1}
@attribute living_ghost3 {0,1}
@attribute living_ghost4 {0,1}
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,12,Stop
1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,12,West
1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,11,South
1,0,0,1,3,4,3,1,5,1,14,7,8,0,0,10,North
1,0,0,1,3,4,3,1,5,1,14,7,7,0,0,10,Stop
1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,10,Stop
1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,10,North
1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,9,South
1,0,0,1,3,5,3,1,5,1,14,8,6,0,0,8,West
1,0,0,1,3,5,3,1,5,1,14,8,7,0,0,8,Stop
1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,8,Stop
1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,8,North
1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,9,East
1,0,0,1,2,5,3,1,5,1,14,9,8,0,0,8,West
1,0,0,1,2,5,3,1,5,1,14,9,9,0,0,8,Stop
1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,8,Stop
1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,8,North
1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,9,East
1,0,0,1,1,5,3,1,5,1,14,10,10,0,0,8,South
1,0,0,1,1,5,3,1,5,1,14,10,11,0,0,8,Stop
1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,8,Stop
1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,8,South
1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,7,East
1,0,0,1,1,4,3,1,5,1,14,9,12,0,0,6,East
1,0,0,1,1,4,3,1,5,1,14,9,11,0,0,6,Stop
1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,6,Stop
1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,6,North
1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,7,East
1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,Stop
1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,Stop
1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,Stop
1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,North
1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,7,South
1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,Stop
1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,Stop
1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,Stop
1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,Stop
1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,South
1,0,0,1,2,4,3,1,5,1,14,11,10,0,0,9,North
1,0,0,1,2,4,3,1,5,1,14,11,9,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,9,South
1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,8,South
1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,Stop
1,0,0,1,2,5,3,1,5,1,14,10,8,0,0,9,West
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,Stop
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,Stop
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,Stop
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,Stop
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,10,West
1,0,0,1,2,5,3,1,5,1,14,10,6,0,0,11,South
1,0,0,1,2,5,3,1,5,1,14,10,7,0,0,11,Stop
1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,Stop
1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,Stop
1,0,0,1,2,4,3,1,5,1,14,10,7,0,0,11,West
1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,Stop
1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,Stop
1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,Stop
1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,12,South
1,0,0,1,2,4,3,1,5,1,14,10,6,0,0,11,West
1,0,0,1,2,4,3,1,5,1,14,9,5,0,0,12,West
1,0,0,1,2,4,3,1,5,1,14,9,6,0,0,12,Stop
1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,12,Stop
1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,12,South
1,0,0,1,1,4,3,1,5,1,14,9,6,0,0,11,West
1,0,0,1,1,4,3,1,5,1,14,8,5,0,0,12,North
1,0,0,1,1,4,3,1,5,1,14,8,4,0,0,12,Stop
1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,12,Stop
1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,12,North
1,0,0,1,1,5,3,1,5,1,14,8,4,0,0,13,West
1,0,0,1,1,5,3,1,5,1,14,9,3,0,0,14,East
1,0,0,1,1,5,3,1,5,1,14,9,2,0,0,14,Stop
1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,14,Stop
1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,14,West
1,0,0,1,2,5,3,1,5,1,14,9,2,0,0,13,West
1,0,0,1,2,5,3,1,5,1,13,9,1,0,0,14,East
0,0,0,1,2,5,3,1,5,1,13,9,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,14,South
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,13,West
0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,14,East
0,0,0,1,1,1,3,1,5,1,13,8,0,0,0,15,West
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,16,North
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,North
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,14,North
0,0,0,1,1,1,3,1,5,1,14,8,0,0,0,15,East
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,14,West
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,13,East
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,East
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,Stop
