@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 1\nSize of the tree: 1\n','Number of rules: 50\n','Number of rules: 52\n','Number of rules: 49\n','Number of rules: 59\n','Number of rules: 61\n','Number of rules: 58\n','Number of rules: 47\n','Number of rules: 56\n','Number of rules: 64\n','Number of rules: 55\n','Number of rules: 48\n','Number of rules: 57\n','Number of rules: 63\n','Number of rules: 46\n','Number of rules: 68\n','Number of rules: 54\n','Number of rules: 65\n','Number of rules: 60\n','Number of rules: 51\n','Number of rules: 53\n','Number of rules: 44\n','Number of rules: 62\n','Number of rules: 13\n','Number of rules: 11\n','Number of rules: 8\n','Number of rules: 15\n','Number of rules: 12\n','Number of rules: 9\n','Number of rules: 5\n','Number of rules: 7\n','Number of rules: 10\n','Number of rules: 17\n','Number of rules: 16\n','Number of rules: 19\n','Number of rules: 14\n','Number of rules: 4\n','Number of rules: 6\n','Number of rules: 22\n','Number of rules: 18\n','Number of rules: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman-data-training,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,28,24,0,53.846154,46.153846,0,0.138122,0.243208,0.379495,92.378585,104.909229,98.900236,6521.376887,-6422.476651,1.901928,125.411094,-123.509166,11.78268,0.22659,11.913703,0.333333,2,0.086957,4,0.913043,42,0.666667,4,0.333333,0.333333,0.333333,0.246377,0.617754,0.211951,0.538462,0.418979,0.581021,0.461538,?,0.538462,?,?,0.525995,0.378624,?,0.538462,0.007,0,0,0,0,0,20337,105876,14603,82.692308,66.153846,'Number of leaves: 33\nSize of the tree: 65\n',65,33,33
pacman-data-training,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,29,23,0,55.769231,44.230769,0,0.156559,0.241431,0.374716,91.70372,103.588235,98.900236,5450.711183,-5351.810947,1.901928,104.821369,-102.919441,10.431767,0.200611,10.547767,0.166667,1,0.021739,1,0.978261,45,0.833333,5,0.5,0.166667,0.25,0.240772,0.563406,0.214481,0.557692,0.398437,0.601563,0.442308,?,0.557692,?,?,0.566223,0.411127,?,0.557692,0.006,0,0.015625,0,15.625,0,15981,105876,14603,90.384615,81.923077,'Number of leaves: 24\nSize of the tree: 47\n',47,24,24
pacman-data-training,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,28,24,0,53.846154,46.153846,0,0.079646,0.250556,0.35756,95.169489,98.845549,98.900236,1166.037295,-1067.137059,1.901928,22.423794,-20.521867,6.66815,0.128234,6.742299,0,0,0.043478,2,0.956522,44,1,6,0,0,0,-0.072232,0.547101,0.139706,0.538462,0.458751,0.541249,0.461538,?,0.538462,?,?,0.571435,0.403176,?,0.538462,0.006,0,0,0,0,0,11141,105876,14603,98.076923,97.307692,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
pacman-data-training,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,28,24,0,53.846154,46.153846,0,0.109208,0.240396,0.363684,91.350086,100.587938,98.703338,4373.811173,-4275.107835,1.898141,84.111753,-82.213612,11.549607,0.222108,11.701334,0,0,0.022222,1,0.977778,44,1,7,0,0,0,-0.055228,0.590476,0.193765,0.538462,0.418517,0.581483,0.461538,?,0.538462,?,?,0.643458,0.434215,?,0.538462,0.01,0,0.015625,0,15.625,0,16465,105876,14603,92.307692,82.692308,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
pacman-data-training,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.066092,0.257097,0.366432,97.696676,101.348111,98.703338,2241.51328,-2142.809942,1.898141,43.106025,-41.207883,5.053652,0.097186,5.120042,0.142857,1,0.066667,3,0.933333,42,0.857143,6,0.25,0.142857,0.181818,0.09759,0.587302,0.184589,0.519231,0.445746,0.554254,0.480769,?,0.519231,?,?,0.536152,0.374518,?,0.519231,0.005,0,0,0,0,0,11141,105876,14603,96.153846,96.153846,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
pacman-data-training,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.108979,0.244972,0.366038,92.098135,100.028147,100.907697,4377.984652,-4277.076955,1.940533,84.192013,-82.25148,11.375886,0.218767,11.273556,0,0,0.111111,5,0.888889,40,1,7,0,0,0,-0.128641,0.579365,0.161255,0.519231,0.394808,0.605192,0.480769,?,0.519231,?,?,0.635866,0.43158,?,0.519231,0.006,0,0.015625,0,15.625,0,15013,105876,14603,92.307692,85.384615,'Number of leaves: 22\nSize of the tree: 43\n',43,22,22
pacman-data-training,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,26,26,0,50,50,0,0.048557,0.247628,0.385114,93.096649,105.241023,100.907697,5452.990164,-5352.082467,1.940533,104.865195,-102.924663,9.493726,0.182572,9.408326,0.142857,1,0.044444,2,0.955556,43,0.857143,6,0.333333,0.142857,0.2,0.144061,0.714286,0.26998,0.5,0.45065,0.54935,0.5,?,0.5,?,?,0.581739,0.373269,?,0.5,0.006,0,0,0,0,0,18401,105876,14603,90.384615,78.076923,'Number of leaves: 29\nSize of the tree: 57\n',57,29,29
pacman-data-training,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,26,25,0,50.980392,49.019608,0,0.105891,0.257129,0.381016,97.335183,104.92637,97.149564,6521.875061,-6424.725497,1.904893,127.879903,-125.97501,5.996802,0.117584,6.172752,0,0,0.045455,2,0.954545,42,1,7,0,0,0,-0.080582,0.373377,0.120385,0.509804,0.398992,0.601008,0.490196,?,0.509804,?,?,0.528471,0.400165,?,0.509804,0.007,0,0.015625,0,15.625,0,12593,106097,14382,88.235294,89.019608,'Number of leaves: 17\nSize of the tree: 33\n',33,17,17
pacman-data-training,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,28,23,0,54.901961,45.098039,0,0.152457,0.250601,0.353657,94.86404,97.39207,97.149564,92.322489,4.827075,1.904893,1.810245,0.094649,8.742002,0.171412,8.998499,0.428571,3,0.113636,5,0.886364,39,0.571429,4,0.375,0.428571,0.4,0.298001,0.665584,0.328431,0.54902,0.412656,0.587344,0.45098,?,0.54902,?,?,0.589921,0.399951,?,0.54902,0.006,0,0,0,0,0,7269,106097,14382,100,95.686275,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
pacman-data-training,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,27,24,0,52.941176,47.058824,0,0.103297,0.250649,0.368942,94.881953,101.601374,97.149564,3306.769543,-3209.619979,1.904893,64.838618,-62.933725,7.653463,0.150068,7.878021,0.285714,2,0.090909,4,0.909091,40,0.714286,5,0.333333,0.285714,0.307692,0.208063,0.673701,0.269796,0.529412,0.43421,0.56579,0.470588,?,0.529412,?,?,0.564839,0.38723,?,0.529412,0.005,0,0,0,0,0,14529,106097,14382,94.117647,90.196078,'Number of leaves: 21\nSize of the tree: 41\n',41,21,21
pacman-data-training,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,24,28,0,46.153846,53.846154,0,0.014218,0.264326,0.39234,100.443396,108.513809,98.703338,7599.214726,-7500.511388,1.898141,146.138745,-144.240604,4.5336,0.087185,4.593158,0.285714,2,0.088889,4,0.911111,41,0.714286,5,0.333333,0.285714,0.307692,0.210272,0.707937,0.364762,0.461538,0.45428,0.54572,0.538462,?,0.461538,?,?,0.52777,0.384751,?,0.461538,0.006,0,0.015625,0,15.625,0,17433,105876,14603,86.538462,85.384615,'Number of leaves: 27\nSize of the tree: 53\n',53,27,27
pacman-data-training,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.068768,0.247263,0.376104,93.959455,104.023037,98.703338,6522.206053,-6423.502715,1.898141,125.427039,-123.528898,9.143338,0.175833,9.263454,0.142857,1,0.022222,1,0.977778,44,0.857143,6,0.5,0.142857,0.222222,0.214106,0.461905,0.255464,0.519231,0.462794,0.537206,0.480769,?,0.519231,?,?,0.494942,0.374826,?,0.519231,0.006,0,0,0,0,0,17917,105876,14603,86.538462,78.461538,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
pacman-data-training,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.051095,0.255797,0.372812,97.305256,103.236271,98.072255,3312.132461,-3214.060206,1.886005,63.694855,-61.80885,3.16031,0.060775,3.22243,0,0,0.044444,2,0.955556,43,1,7,0,0,0,-0.078881,0.542857,0.148571,0.519231,0.446251,0.553749,0.480769,?,0.519231,?,?,0.52261,0.378972,?,0.519231,0.006,0,0.015625,0,15.625,0,10657,105876,14603,94.230769,94.230769,'Number of leaves: 13\nSize of the tree: 25\n',25,13,13
pacman-data-training,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.096595,0.248622,0.389097,94.576047,107.74578,98.072255,9730.40746,-9632.335205,1.886005,187.12322,-185.237215,9.744886,0.187402,9.936435,0,0,0.111111,5,0.888889,40,1,7,0,0,0,-0.128641,0.257143,0.108179,0.519231,0.384953,0.615047,0.480769,?,0.519231,?,?,0.545417,0.407652,?,0.519231,0.006,0,0,0,0,0,22273,105876,14603,82.692308,68.461538,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37
pacman-data-training,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,-0.007752,0.255918,0.36763,97.351566,101.801271,98.072255,1169.665988,-1071.593733,1.886005,22.493577,-20.607572,3.888395,0.074777,3.964826,0,0,0.044444,2,0.955556,43,1,7,0,0,0,-0.078881,0.512698,0.139194,0.519231,0.522009,0.477991,0.480769,?,0.519231,?,?,0.58501,0.428918,?,0.519231,0.005,0,0,0,0,0,14045,105876,14603,98.076923,96.153846,'Number of leaves: 20\nSize of the tree: 39\n',39,20,20
pacman-data-training,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,24,28,0,46.153846,53.846154,0,0.015551,0.266609,0.400224,100.232612,109.370029,100.907697,5461.259794,-5360.352097,1.940533,105.024227,-103.083694,3.125883,0.060113,3.097765,0.285714,2,0.088889,4,0.911111,41,0.714286,5,0.333333,0.285714,0.307692,0.210272,0.528571,0.163993,0.461538,0.457621,0.542379,0.538462,?,0.461538,?,?,0.505126,0.33455,?,0.461538,0.006,0,0,0,0,0,12109,105876,14603,90.384615,88.461538,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
pacman-data-training,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,25,27,0,48.076923,51.923077,0,0.054545,0.262131,0.380272,98.549143,103.917725,100.907697,4385.164131,-4284.256434,1.940533,84.330079,-82.389547,4.959944,0.095384,4.915328,0.142857,1,0.066667,3,0.933333,42,0.857143,6,0.25,0.142857,0.181818,0.09759,0.507937,0.255256,0.480769,0.416296,0.583704,0.519231,0.323457,0.480769,0.380519,0.078124,0.533591,0.368187,0.173506,0.480769,0.006,0,0,0,0,0,11141,105876,14603,92.307692,90.384615,'Number of leaves: 14\nSize of the tree: 27\n',27,14,14
pacman-data-training,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,26,25,0,50.980392,49.019608,0,0.092527,0.254498,0.380891,96.193677,104.713951,97.977545,4381.549072,-4283.571527,1.921128,85.912727,-83.991599,6.763949,0.132626,6.903571,0.166667,1,0.022222,1,0.977778,44,0.833333,5,0.5,0.166667,0.25,0.239756,0.533333,0.262032,0.509804,0.418548,0.581452,0.490196,0.392717,0.509804,0.421831,0.121302,0.562873,0.3982,0.2199,0.509804,0.005,0,0.015625,0,15.625,0,13561,106097,14382,92.156863,90.980392,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
pacman-data-training,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,29,22,0,56.862745,43.137255,0,0.166419,0.247664,0.352395,93.610679,96.879933,97.977545,1161.415471,-1063.437926,1.921128,22.772852,-20.851724,10.231245,0.200613,10.442438,0.166667,1,0,0,1,45,0.833333,5,1,0.166667,0.285714,0.387298,0.840741,0.707483,0.568627,0.410617,0.589383,0.431373,0.513725,0.568627,0.462045,0.265636,0.599604,0.462405,0.287143,0.568627,0.006,0,0,0,0,0,11625,106097,14382,98.039216,96.078431,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
