@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
6,8,1,1,1,1,1,1,1,1,6,5,7,7,6,10,12,8,4,2,2,6,-11,West
6,8,1,1,1,1,1,1,1,1,5,5,7,7,6,10,12,8,4,1,2,6,-11,Stop
6,8,1,1,1,1,1,1,1,1,5,5,6,7,6,10,12,8,4,1,2,6,-11,East
6,8,1,1,1,1,1,1,1,1,5,5,6,7,6,10,12,8,4,1,2,7,-11,South
6,7,1,0,1,1,1,0,1,1,5,5,6,7,6,10,13,8,3,0,3,8,188,West
6,7,1,0,1,1,1,0,1,1,5,5,3,1,6,10,13,8,4,0,3,8,188,Stop
6,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,13,8,4,0,3,8,188,Stop
6,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,13,8,4,0,3,8,188,East
6,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,13,8,4,0,3,9,188,East
7,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,14,8,5,0,4,8,187,Stop
7,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,14,8,5,0,4,8,187,Stop
7,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,14,8,5,0,4,8,187,North
7,7,1,0,1,1,1,0,1,1,4,5,3,1,6,10,14,8,5,0,5,8,187,Stop
7,7,1,0,1,1,1,0,1,1,4,5,3,1,6,11,14,8,5,0,5,8,187,North
7,8,1,1,1,1,1,0,1,1,4,5,3,1,6,11,14,8,6,0,4,7,186,West
7,8,1,1,1,1,1,0,1,1,4,5,3,1,6,11,14,8,7,0,4,7,186,Stop
7,8,1,1,1,1,1,0,1,1,3,5,3,1,6,11,14,8,7,0,4,7,186,South
7,8,1,1,1,1,1,0,1,1,3,5,3,1,6,11,14,8,7,0,3,7,186,South
7,8,1,1,1,1,1,0,1,1,3,5,3,1,6,10,14,8,7,0,3,8,186,West
6,8,1,1,1,1,1,0,1,1,3,5,3,1,6,10,14,7,6,0,2,9,185,South
6,8,1,1,1,1,1,0,1,1,3,5,3,1,6,10,14,7,7,0,2,9,185,Stop
6,8,1,1,1,1,1,0,1,1,3,4,3,1,6,10,14,7,7,0,2,9,185,South
6,8,1,1,1,1,1,0,1,1,3,4,3,1,6,10,14,7,7,0,1,9,185,East
6,8,1,1,1,1,1,0,1,1,3,4,3,1,6,9,14,7,7,0,1,10,185,North
6,9,1,1,1,1,1,0,0,1,3,4,3,1,6,9,15,7,8,0,0,11,384,East
6,9,1,1,1,1,1,0,0,1,3,4,3,1,5,1,15,7,7,0,0,11,384,Stop
6,9,1,1,1,1,1,0,0,1,4,4,3,1,5,1,15,7,7,0,0,11,384,Stop
6,9,1,1,1,1,1,0,0,1,4,4,3,1,5,1,15,7,7,0,0,11,384,Stop
6,9,1,1,1,1,1,0,0,1,4,4,3,1,5,1,15,7,7,0,0,11,384,North
6,10,1,1,0,1,1,0,0,1,4,4,3,1,5,1,15,7,8,0,0,12,383,West
6,10,1,1,0,1,1,0,0,1,4,4,3,1,5,1,15,7,9,0,0,12,383,Stop
6,10,1,1,0,1,1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,12,383,Stop
6,10,1,1,0,1,1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,12,383,West
6,10,1,1,0,1,1,0,0,1,3,4,3,1,5,1,15,7,9,0,0,11,383,South
6,9,1,1,1,1,1,0,0,1,3,4,3,1,5,1,14,7,8,0,0,10,382,North
6,9,1,1,1,1,1,0,0,1,3,4,3,1,5,1,14,7,7,0,0,10,382,Stop
6,9,1,1,1,1,1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,10,382,Stop
6,9,1,1,1,1,1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,10,382,North
6,9,1,1,1,1,1,0,0,1,3,5,3,1,5,1,14,7,7,0,0,9,382,South
6,8,1,1,1,1,1,0,0,1,3,5,3,1,5,1,14,8,6,0,0,8,381,West
6,8,1,1,1,1,1,0,0,1,3,5,3,1,5,1,14,8,7,0,0,8,381,Stop
6,8,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,8,381,Stop
6,8,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,8,381,North
6,8,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,8,7,0,0,9,381,East
7,8,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,9,8,0,0,8,380,West
7,8,1,1,1,1,1,0,0,1,2,5,3,1,5,1,14,9,9,0,0,8,380,Stop
7,8,1,1,1,1,1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,8,380,Stop
7,8,1,1,1,1,1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,8,380,North
7,8,1,1,1,1,1,0,0,1,1,5,3,1,5,1,14,9,9,0,0,9,380,East
8,8,1,1,1,1,1,0,0,1,1,5,3,1,5,1,14,10,10,0,0,8,379,South
